4545.6239,N,00307.0451,E
4545.6244,N,00307.0437,E
4545.6241,N,00307.0417,E
4545.6216,N,00307.0367,E
4545.6178,N,00307.0313,E
4545.6128,N,00307.0251,E
4545.6077,N,00307.0180,E
4545.6034,N,00307.0104,E
4545.6000,N,00307.0024,E
4545.5973,N,00306.9939,E
4545.5928,N,00306.9874,E
4545.5867,N,00306.9836,E
4545.5802,N,00306.9824,E
4545.5743,N,00306.9810,E
4545.5678,N,00306.9774,E
4545.5658,N,00306.9678,E
4545.5636,N,00306.9579,E
4545.5608,N,00306.9486,E
4545.5580,N,00306.9393,E
4545.5555,N,00306.9301,E
4545.5526,N,00306.9194,E
4545.5492,N,00306.9072,E
4545.5460,N,00306.8949,E
4545.5429,N,00306.8832,E
4545.5390,N,00306.8704,E
4545.5350,N,00306.8564,E
4545.5309,N,00306.8421,E
4545.5263,N,00306.8283,E
4545.5219,N,00306.8143,E
4545.5178,N,00306.8012,E
4545.5135,N,00306.7886,E
4545.5102,N,00306.7769,E
4545.5063,N,00306.7655,E
4545.5022,N,00306.7542,E
4545.4984,N,00306.7426,E
4545.4952,N,00306.7327,E
4545.4936,N,00306.7245,E
4545.4928,N,00306.7168,E
4545.4902,N,00306.7113,E
4545.4856,N,00306.7071,E
4545.4810,N,00306.6989,E
4545.4760,N,00306.6889,E
4545.4703,N,00306.6789,E
4545.4650,N,00306.6685,E
4545.4595,N,00306.6603,E
4545.4557,N,00306.6532,E
4545.4526,N,00306.6485,E
4545.4503,N,00306.6452,E
4545.4477,N,00306.6413,E
4545.4448,N,00306.6369,E
4545.4411,N,00306.6312,E
4545.4353,N,00306.6242,E
4545.4292,N,00306.6139,E
4545.4227,N,00306.6039,E
4545.4157,N,00306.5928,E
4545.4089,N,00306.5815,E
4545.4019,N,00306.5696,E
4545.3951,N,00306.5585,E
4545.3881,N,00306.5468,E
4545.3809,N,00306.5346,E
4545.3731,N,00306.5223,E
4545.3654,N,00306.5103,E
4545.3584,N,00306.4988,E
4545.3531,N,00306.4867,E
4545.3481,N,00306.4756,E
4545.3456,N,00306.4655,E
4545.3449,N,00306.4581,E
4545.3466,N,00306.4531,E
4545.3497,N,00306.4501,E
4545.3549,N,00306.4481,E
4545.3608,N,00306.4462,E
4545.3687,N,00306.4435,E
4545.3786,N,00306.4404,E
4545.3884,N,00306.4357,E
4545.3972,N,00306.4302,E
4545.4040,N,00306.4252,E
4545.4069,N,00306.4178,E
4545.4050,N,00306.4093,E
4545.4025,N,00306.3989,E
4545.3991,N,00306.3847,E
4545.3957,N,00306.3701,E
4545.3927,N,00306.3549,E
4545.3900,N,00306.3399,E
4545.3864,N,00306.3267,E
4545.3835,N,00306.3139,E
4545.3795,N,00306.3010,E
4545.3756,N,00306.2878,E
4545.3726,N,00306.2751,E
4545.3691,N,00306.2625,E
4545.3659,N,00306.2507,E
4545.3634,N,00306.2408,E
4545.3624,N,00306.2364,E
4545.3626,N,00306.2354,E
4545.3622,N,00306.2354,E
4545.3615,N,00306.2353,E
4545.3596,N,00306.2319,E
4545.3586,N,00306.2302,E
4545.3553,N,00306.2279,E
4545.3491,N,00306.2296,E
4545.3436,N,00306.2322,E
4545.3395,N,00306.2312,E
4545.3377,N,00306.2251,E
4545.3367,N,00306.2168,E
4545.3344,N,00306.2067,E
4545.3317,N,00306.1939,E
4545.3284,N,00306.1802,E
4545.3256,N,00306.1661,E
4545.3223,N,00306.1508,E
4545.3190,N,00306.1350,E
4545.3148,N,00306.1202,E
4545.3103,N,00306.1056,E
4545.3057,N,00306.0909,E
4545.3015,N,00306.0774,E
4545.2972,N,00306.0642,E
4545.2936,N,00306.0513,E
4545.2893,N,00306.0381,E
4545.2850,N,00306.0253,E
4545.2802,N,00306.0108,E
4545.2751,N,00305.9963,E
4545.2686,N,00305.9847,E
4545.2602,N,00305.9764,E
4545.2520,N,00305.9705,E
4545.2451,N,00305.9647,E
4545.2400,N,00305.9610,E
4545.2375,N,00305.9590,E
9,E
00306.6432,E
4545.4464,N,00306.6394,E
4545.4430,N,00306.6343,E
4545.4386,N,00306.6278,E
4545.4322,N,00306.6194,E
4545.4259,N,00306.6089,E
4545.4193,N,00306.5983,E
4545.4125,N,00306.5874,E
4545.4055,N,00306.5754,E
